"id","latitude","longitude","type","brand","taken","pickedup","imageUri","ByteArrayImage","X"
"1","'79385BBF-CB14-4CD0-B71C-927E8C6A4796'",51.9870779576759,5.95101069247372," Kleine PET-fles"," Coca Cola"," 2015-06-04 09:49:30.755 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/37a92481-5abe-4447-b6d6-2bd913596cc3.jpg'"," ''",NA
"2","'2CE91F92-6085-47CD-8466-FDC4C1B52776'",52.384358,4.877727," Kleine PET-fles"," Extran"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/0_17231065591_l.jpg'"," ''",NA
"3","'52F17FC1-B0AB-45A3-B2F2-714EB76D5564'",52.358486,4.851936," Pouch"," Capri-Sun"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/2015-04-30_08-44-05_17293199636_l.jpg'"," ''",NA
"4","'E53B98AC-2CEF-48F2-B91A-9DF5BBDCE4FA'",52.358447,4.851933," Aluminium blikje"," Red Bull"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/2015-04-30_08-47-06_17111728237_l.jpg'"," ''",NA
"5","'8176B942-9C7E-4C5E-85C9-59DC4DCF022E'",52.363094,4.935772," Aluminium blikje"," Anders"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150329_104601_1_16987009841_l.jpg'"," ''",NA
"6","'AE9B0455-1C73-4FF1-AF7A-3089E7A7EFF5'",52.363094,4.935772," Aluminium blikje"," Red Bull"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150329_104607_1_16367810243_l.jpg'"," ''",NA
"7","'044164E2-4518-41CC-91B4-E8E6DD003513'",52.363094,4.935772," Aluminium blikje"," Heineken"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150329_104639_16987902575_l.jpg'"," ''",NA
"8","'E6729745-B633-4F8F-98BE-BBC8DB4B62F7'",52.362786,4.936119," Aluminium blikje"," Red Bull"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150329_104834_16365541474_l.jpg'"," ''",NA
"9","'99983B36-F350-41DB-B098-3B62FD3323FA'",52.362786,4.936119," Kleine PET-fles"," Spa"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150329_104839_16986550442_l.jpg'"," ''",NA
"10","'F8856A1D-9318-4F10-B757-AD49A493EE70'",52.362786,4.936119," Kleine PET-fles"," AA"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150329_104855_16800457040_l.jpg'"," ''",NA
"11","'37C2440F-46CA-43BA-859B-A6E2B3E11003'",52.362786,4.936119," Aluminium blikje"," Bullit"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150329_105041_16972470656_l.jpg'"," ''",NA
"12","'A795ACB2-5C46-498B-AC40-B605B4999862'",52.362786,4.936119," Aluminium blikje"," Bullit"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150329_105047_1_16987049362_l.jpg'"," ''",NA
"13","'4CAED534-07CD-4115-A44D-DC9038E7D0FD'",52.362786,4.936119," Aluminium blikje"," Red Bull"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150329_105131_16366035494_l.jpg'"," ''",NA
"14","'6B60D441-3754-4242-8287-82BFD7291F2B'",52.363186,4.935641," Kleine PET-fles"," AA"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150329_105259_16962451446_l.jpg'"," ''",NA
"15","'2D128976-C9E9-4C18-BC45-A4018FEC9548'",52.363186,4.935641," Pouch"," Capri-Sonne"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150329_105326_1_16988392075_l.jpg'"," ''",NA
"16","'BC897324-DE71-4501-A50E-D9A9353BF966'",52.384047,4.875091," Aluminium blikje"," Heineken"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150329_143942_16963264186_l.jpg'"," ''",NA
"17","'C3F9E1E8-807F-4213-AA9F-B4F8ADA730CC'",52.384036,4.875094," Aluminium blikje"," Anders"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150329_143958_16781830257_l.jpg'"," ''",NA
"18","'A460BA9F-A139-452B-9BD6-DA5BC3C682C8'",52.383766,4.876541," Aluminium blikje"," Red Bull"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150329_144302_16987856992_l.jpg'"," ''",NA
"19","'82CF6A08-0638-4F59-AA04-12F6971E8DEB'",52.384052,4.876661," Aluminium blikje"," Dommelsch"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150329_144329_16988312931_l.jpg'"," ''",NA
"20","'0949F06E-C41A-4C75-918E-91419F0398C2'",52.384227,4.877122," Aluminium blikje"," Red Bull"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150329_144548_16781827487_l.jpg'"," ''",NA
"21","'7649CB47-55BA-43A3-BA70-859255C41E0C'",52.384197,4.877916," Kleine PET-fles"," Anders"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150329_144706_16988311361_l.jpg'"," ''",NA
"22","'E6F9B892-F65B-482B-899D-0E51FF9CA504'",52.384241,4.878044," Pouch"," Melkunie"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150329_144737_16801493578_l.jpg'"," ''",NA
"23","'3DA64BE3-C288-430B-91EC-183D98A23AF2'",52.384333,4.878513," Aluminium blikje"," Grolsch"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150329_144826_16781824967_l.jpg'"," ''",NA
"24","'7A805565-D20B-484E-B8B1-0ABE5A589089'",52.385036,4.878944," Aluminium blikje"," AH"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150329_144940_16988308541_l.jpg'"," ''",NA
